epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,5758.66,0.75728,1.77213,0.28385,0.5548,0.96836,0.94579,0.9355,0.98159,0.86819,0.9086,0.90193,0.90673,0.73211,0.61497,1.12164,0.2312,0.44541,0.94119,0.0003095,0.0003095,0.0003095
40,5909.41,0.74947,1.75809,0.2847,0.55338,0.96535,0.9333,0.94927,0.98144,0.86676,0.89814,0.91454,0.90629,0.72781,0.61324,1.11973,0.23069,0.44237,0.94092,0.00028475,0.00028475,0.00028475
41,6053.78,0.65613,1.22946,0.2447,0.47753,0.94097,0.94228,0.94643,0.9834,0.86895,0.90302,0.90878,0.90414,0.73554,0.60867,1.0991,0.22651,0.43336,0.93479,0.00026,0.00026,0.00026
42,6195.46,0.63735,1.19488,0.24174,0.46715,0.93486,0.94189,0.94593,0.9837,0.87068,0.90325,0.90995,0.90373,0.73717,0.60253,1.10052,0.22409,0.43327,0.93454,0.00023525,0.00023525,0.00023525
43,6339.31,0.62725,1.16938,0.239,0.46154,0.92933,0.9424,0.94606,0.98344,0.87304,0.90247,0.91175,0.90672,0.74158,0.59501,1.08115,0.22308,0.42679,0.93161,0.0002105,0.0002105,0.0002105
44,6479.2,0.62281,1.1256,0.23712,0.45458,0.92356,0.93921,0.94752,0.98404,0.87683,0.89351,0.90718,0.89617,0.74224,0.58652,1.07325,0.22216,0.42233,0.92832,0.00018575,0.00018575,0.00018575
45,6618.24,0.6122,1.11054,0.23675,0.44833,0.92494,0.93739,0.95245,0.98372,0.87686,0.89792,0.91493,0.90587,0.74507,0.58691,1.06237,0.22131,0.4202,0.92787,0.000161,0.000161,0.000161
46,6757.65,0.60356,1.09341,0.23796,0.44167,0.91677,0.94216,0.94768,0.98425,0.87819,0.90515,0.91221,0.90754,0.74862,0.58368,1.05346,0.22073,0.41747,0.92309,0.00013625,0.00013625,0.00013625
47,6898.39,0.58959,1.05925,0.23518,0.4323,0.91411,0.94164,0.95511,0.98551,0.87788,0.89912,0.90863,0.89643,0.74564,0.58022,1.04755,0.22013,0.4156,0.92428,0.0001115,0.0001115,0.0001115
48,7039.12,0.58339,1.0427,0.23387,0.42728,0.9121,0.95064,0.94265,0.98526,0.87993,0.89853,0.89932,0.89111,0.75038,0.57654,1.04261,0.21961,0.41064,0.92167,8.675e-05,8.675e-05,8.675e-05
49,7182.07,0.57658,1.028,0.23402,0.42212,0.91121,0.94583,0.95102,0.98503,0.87999,0.90242,0.90949,0.8979,0.75047,0.57495,1.03448,0.21884,0.40756,0.92066,6.2e-05,6.2e-05,6.2e-05
50,7323.41,0.56881,0.99499,0.23312,0.41834,0.90654,0.95175,0.94448,0.98494,0.87989,0.9069,0.90276,0.89744,0.75032,0.57457,1.03436,0.21889,0.40621,0.92065,3.725e-05,3.725e-05,3.725e-05
